"location","cause","measure","b0_median","b1_median","b2_median","t_inflec_median"
"Central Asia","HIV/AIDS","Prevalence",4.7125094880677e-05,1.31695195595641e-05,0,NA
"Central Asia","Tuberculosis","Deaths",0.0175786576167783,0.00186340239233873,-0.00304387954530378,1999.64296441047
"Central Asia","Tuberculosis","Incidence",0.000238023104569346,1.70158052431905e-06,-8.06095012859381e-06,2002.5804091003
"Central Asia","Tuberculosis","Prevalence",0.37458518303815,0,-0.00616652670586593,1995.65411654109
"Central Europe","HIV/AIDS","Deaths",0.00467395195952964,0,0,NA
"Central Europe","HIV/AIDS","Incidence",1.83069293795886e-06,4.63955849219211e-08,0,NA
"Central Europe","HIV/AIDS","Prevalence",2.21902585649491e-05,9.12281829871882e-06,0,NA
"Central Europe","Tuberculosis","Deaths",0.00639347771424267,0,-0.000183390373580315,1999.54146997131
"Central Europe","Tuberculosis","Incidence",8.78036659729887e-05,0,-1.93072794298792e-06,1993.9899385761
"Central Europe","Tuberculosis","Prevalence",0.326009116853889,0,-0.00618721149188085,1990.29303015208
"Central Latin America","HIV/AIDS","Deaths",0.0107606371096058,0.000301055018820589,0,NA
"Central Latin America","HIV/AIDS","Incidence",1.62592726698349e-05,2.89113912624175e-07,0,NA
"Central Latin America","HIV/AIDS","Prevalence",0.000392662748169485,4.84665026823183e-05,0,NA
"Central Latin America","Tuberculosis","Deaths",0.0160111349228289,0,-0.000481244407071504,1990.83979102741
"Central Latin America","Tuberculosis","Incidence",9.16679784409641e-05,0,-1.79987465256661e-06,1992.83221106024
"Central Latin America","Tuberculosis","Prevalence",0.416264667751591,0,-0.00533620522562268,1990.41205760448
"Central Sub-Saharan Africa","HIV/AIDS","Deaths",0.0948650471988656,0,0,NA
"Central Sub-Saharan Africa","HIV/AIDS","Incidence",0.000322321788987283,0,-9.46609618698002e-06,1990.71179944001
"Central Sub-Saharan Africa","HIV/AIDS","Prevalence",0.0131763715635232,0,-0.00019576043819045,2000.68562515943
"Central Sub-Saharan Africa","Tuberculosis","Deaths",0.108993454175166,0,-0.00156993895262579,2010.72057690298
"Central Sub-Saharan Africa","Tuberculosis","Incidence",0.000762553936460147,0,-1.03940920400889e-05,2008.31433940442
"Central Sub-Saharan Africa","Tuberculosis","Prevalence",0.43476743312799,0.000777338647094393,-0.00499797570658459,2008.42676498544
"East Asia","HIV/AIDS","Deaths",-0.000383973446011405,0.000303686558197438,0,NA
"East Asia","HIV/AIDS","Incidence",6.38187304656229e-06,0,0,NA
"East Asia","HIV/AIDS","Prevalence",2.95146752588593e-05,1.60000032017676e-05,0,NA
"East Asia","Tuberculosis","Deaths",0.0217315185785651,0,-0.00066541897511191,1990.52157374879
"East Asia","Tuberculosis","Incidence",0.000393925436275968,0,-8.174899988993e-06,1990.43712774785
"East Asia","Tuberculosis","Prevalence",0.373088022320054,0,-0.00387968087416041,1999.53422108253
"Eastern Europe","HIV/AIDS","Deaths",0.000954482708810843,0.00102717578923857,0,NA
"Eastern Europe","HIV/AIDS","Incidence",-9.38674988350907e-06,3.32316175984529e-06,0,NA
"Eastern Europe","HIV/AIDS","Prevalence",-0.00046360468684921,0.000136765184552114,0,NA
"Eastern Europe","Tuberculosis","Deaths",0.0105857376251958,0,0,NA
"Eastern Europe","Tuberculosis","Incidence",0.00018409435028185,4.72848264078309e-06,-1.41157438615188e-05,2004.41176395711
"Eastern Europe","Tuberculosis","Prevalence",0.336863884316222,0,-0.00696185122520206,1995.71226539428
"Eastern Sub-Saharan Africa","HIV/AIDS","Deaths",0.112674221622044,0.0114998477111506,-0.0191113344074736,2002.69991609016
"Eastern Sub-Saharan Africa","HIV/AIDS","Incidence",0.000894309414394702,0,-2.88608996009925e-05,1991.11508578226
"Eastern Sub-Saharan Africa","HIV/AIDS","Prevalence",0.0354177177273116,0,0,NA
"Eastern Sub-Saharan Africa","Tuberculosis","Deaths",0.111193071952378,0,-0.00118158037048692,1991.09362320052
"Eastern Sub-Saharan Africa","Tuberculosis","Incidence",0.000985319954548634,0,-1.39463134808084e-05,1994.31538642925
"Eastern Sub-Saharan Africa","Tuberculosis","Prevalence",0.42461355397167,0,-0.00431209662321454,1994.54162559666
"High-income Asia Pacific","HIV/AIDS","Deaths",0.000326665111044055,3.64281764372449e-05,-4.45417027177233e-05,2012.99357697656
"High-income Asia Pacific","HIV/AIDS","Incidence",2.31293865743349e-06,9.43594490521319e-08,0,NA
"High-income Asia Pacific","HIV/AIDS","Prevalence",3.44993872525713e-06,1.2723367533454e-05,0,NA
"High-income Asia Pacific","Tuberculosis","Deaths",0.0118518357825001,0,-0.000378864037532473,1990.67992027574
"High-income Asia Pacific","Tuberculosis","Incidence",0.000164163246500847,0,-4.01981148976281e-06,1990.52777724721
"High-income Asia Pacific","Tuberculosis","Prevalence",0.352875433784791,0,-0.00702989801663037,1990.36763206937
"High-income North America","HIV/AIDS","Deaths",0.0348429095024326,0,-0.00140563559575213,1992.72676667906
"High-income North America","HIV/AIDS","Incidence",2.51544738511652e-05,0,0,NA
"High-income North America","HIV/AIDS","Prevalence",0.00232657720009084,6.8134250133639e-05,0,NA
"High-income North America","Tuberculosis","Deaths",0.000967743860747503,0,-2.70466130846756e-05,1990.86710051594
"High-income North America","Tuberculosis","Incidence",2.27862710021856e-05,0,-6.80521587180641e-07,1990.71174903353
"High-income North America","Tuberculosis","Prevalence",0.128811058326787,0,-0.000913979247747394,1996.55729517631
"North Africa and Middle East","HIV/AIDS","Deaths",0.000253843426343637,0.000283211627101085,-0.000170177622065118,2006.9172987727
"North Africa and Middle East","HIV/AIDS","Incidence",2.98693482472185e-06,9.60912541106397e-08,0,NA
"North Africa and Middle East","HIV/AIDS","Prevalence",5.24261257987334e-05,1.0124425905355e-05,-3.33335867967932e-06,2000.01591034012
"North Africa and Middle East","Tuberculosis","Deaths",0.0174836696665004,0,-0.000408239855190586,1991.26488079419
"North Africa and Middle East","Tuberculosis","Incidence",0.000149050683884776,0,-3.27032994916014e-06,1990.51344570797
"North Africa and Middle East","Tuberculosis","Prevalence",0.384430082305176,0,-0.00595084888622057,1991.33653809107
"Oceania","HIV/AIDS","Deaths",-0.00995697310791605,0.00394790831563715,-0.00391845869218164,2006.24216975545
"Oceania","HIV/AIDS","Incidence",8.69057409291395e-05,0,0,NA
"Oceania","HIV/AIDS","Prevalence",-0.000880582235946278,0.000429386209290983,-0.000292579992252208,2005.39798380136
"Oceania","Tuberculosis","Deaths",0.0376643037895204,0,-0.00056719468751937,1990.58895807725
"Oceania","Tuberculosis","Incidence",0.000349991632581354,0,-4.47765169840898e-06,1990.32495632112
"Oceania","Tuberculosis","Prevalence",0.44450994672357,0.000575080351464368,0,NA
"South Asia","HIV/AIDS","Deaths",-0.00424672984454361,0.00193766679781125,-0.00346885551187492,2005.96278556693
"South Asia","HIV/AIDS","Incidence",1.90665254109621e-05,0,-7.3881670554526e-07,1998.71490488314
"South Asia","HIV/AIDS","Prevalence",-5.07774187569381e-05,0.000119073583656586,-0.000140896668556651,2000.98370090442
"South Asia","Tuberculosis","Deaths",0.0984456340493957,0,-0.00182849121573424,1991.45601759655
"South Asia","Tuberculosis","Incidence",0.000864623392118637,0,-1.40038333658571e-05,1992.08739132209
"South Asia","Tuberculosis","Prevalence",0.30579215717056,0,-0.00297919672959936,1992.19449181247
"Southeast Asia","HIV/AIDS","Deaths",-0.000447892924811406,0.00235519845481476,-0.00261535761567454,2001.80585980949
"Southeast Asia","HIV/AIDS","Incidence",3.1110400070482e-05,0,-3.11779135301878e-07,1992.01270666704
"Southeast Asia","HIV/AIDS","Prevalence",0.000314621961153344,0.00020015321703111,-0.0001687662158533,1995.46155981365
"Southeast Asia","Tuberculosis","Deaths",0.0924331171435505,0,-0.00183044232021773,1990.45146024322
"Southeast Asia","Tuberculosis","Incidence",0.000817115263419904,0,-1.41719941237448e-05,1990.54787689979
"Southeast Asia","Tuberculosis","Prevalence",0.380975856689118,0.000276093941956608,-0.00105025263205082,2012.89078102377
"Southern Latin America","HIV/AIDS","Deaths",0.0157318415352188,0,0,NA
"Southern Latin America","HIV/AIDS","Incidence",1.9185578134236e-05,4.27914621523867e-07,0,NA
"Southern Latin America","HIV/AIDS","Prevalence",0.000650965853473557,8.80786477432698e-05,0,NA
"Southern Latin America","Tuberculosis","Deaths",0.0100742588599566,0,-0.000251827241237564,1990.74414624445
"Southern Latin America","Tuberculosis","Incidence",4.35760580317491e-05,0,0,NA
"Southern Latin America","Tuberculosis","Prevalence",0.288918427718072,0,-0.00431857784006958,1990.29426566916
"Southern Sub-Saharan Africa","HIV/AIDS","Deaths",0.046822052416051,0.0280726939346631,-0.0321725000259315,2001.71677917594
"Southern Sub-Saharan Africa","HIV/AIDS","Incidence",0.00165060432781249,0,-4.66428128961667e-05,2001.64981702526
"Southern Sub-Saharan Africa","HIV/AIDS","Prevalence",0.00438253141396402,0.00800015515640647,-0.00570779719309653,2000.61849120175
"Southern Sub-Saharan Africa","Tuberculosis","Deaths",0.0606405879371268,0,-0.000484157342530829,1991.81011677653
"Southern Sub-Saharan Africa","Tuberculosis","Incidence",0.000571280009869068,0,-4.63978223820536e-06,2004.65487055676
"Southern Sub-Saharan Africa","Tuberculosis","Prevalence",0.438550586478516,0,-0.00290085072571011,2006.92179056206
"Tropical Latin America","HIV/AIDS","Deaths",0.0232976545164309,0,0,NA
"Tropical Latin America","HIV/AIDS","Incidence",2.04385086665722e-05,7.32058820204509e-07,0,NA
"Tropical Latin America","HIV/AIDS","Prevalence",0.00072221747626047,9.91795524177745e-05,0,NA
"Tropical Latin America","Tuberculosis","Deaths",0.0120001802143236,0,-0.000272856639176852,1990.52212586518
"Tropical Latin America","Tuberculosis","Incidence",0.000103293946016412,0,-2.07861069167635e-06,1993.52565029355
"Tropical Latin America","Tuberculosis","Prevalence",0.389168038420437,0,-0.00454462140333989,1992.43406393115
"Western Europe","HIV/AIDS","Deaths",0.0181064633093513,0,-0.000664380289763139,1993.57008643251
"Western Europe","HIV/AIDS","Incidence",8.49923635948401e-06,0,0,NA
"Western Europe","HIV/AIDS","Prevalence",0.000542058942876496,2.49558593672755e-05,0,NA
"Western Europe","Tuberculosis","Deaths",0.00221425558902729,0,-5.35593841931567e-05,1990.49538289785
"Western Europe","Tuberculosis","Incidence",3.19176667957079e-05,0,-6.97135922876659e-07,1990.46755222994
"Western Europe","Tuberculosis","Prevalence",0.125884363930385,0,-0.00211878315192284,1990.45470861027
"Western Sub-Saharan Africa","HIV/AIDS","Deaths",0.0998932527405803,0,0,NA
"Western Sub-Saharan Africa","HIV/AIDS","Incidence",0.000313496226138292,0,-1.05024010428413e-05,1995.08938390186
"Western Sub-Saharan Africa","HIV/AIDS","Prevalence",0.0051463183703574,0.00119602037682867,-0.00134430375292026,1998.35143534818
"Western Sub-Saharan Africa","Tuberculosis","Deaths",0.0788537523652488,0,-0.00122206857999978,1990.69425039846
"Western Sub-Saharan Africa","Tuberculosis","Incidence",0.000648976787295202,0,-1.0606694907512e-05,2000.3816335112
"Western Sub-Saharan Africa","Tuberculosis","Prevalence",0.432403778865121,0,-0.00711725917965983,1997.60969144403
